start	end	kind	owner	instructions	calls
97bb4e44	97bb4ec4	switch-code	TGenericLinker::CollectClientAttributeBindings	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb4f34	97bb4fb0	switch-code	TGenericLinker::CollectClientAttributeBindings	31	__ZN13TInfoSinkBase6appendEPKc,_free
97bb5034	97bb50c4	switch-code	TGenericLinker::CollectClientAttributeBindings	36	__ZN12BindingTable24NextAttribRequestBindingEP7Binding,__ZN13TInfoSinkBase6appendEPKc,_free
97bb5588	97bb560c	switch-code	TGenericLinker::RemapVertexAttributes	33	__ZN13TInfoSinkBase6appendEPKc,_free
97bb58a8	97bb592c	switch-code	TGenericLinker::AllocateTextureUnitsForVaryings	33	__ZN13TInfoSinkBase6appendEPKc,_free
97bb66ac	97bb6720	switch-code	TGenericLinker::AllocateTextureUnitsForVaryings	29	__ZN13TInfoSinkBase6appendEPKc
97bb67f4	97bb680c	table	TGenericLinker::AllocateTextureUnitsForVaryings	6	
97bb6884	97bb689c	table	TGenericLinker::AllocateTextureUnitsForVaryings	6	
97bb68f4	97bb6970	switch-code	TGenericLinker::AllocateTextureUnitsForVaryings	31	__ZN13TInfoSinkBase6appendEPKc,_free
97bb6a94	97bb6b14	switch-code	TGenericLinker::AllocateTextureUnitsForVaryings	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb6ea0	97bb6f20	switch-code	TGenericLinker::BuildUniformRemapTables	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb6fd8	97bb7058	switch-code	TGenericLinker::BuildUniformRemapTables	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb7140	97bb71b8	switch-code	TGenericLinker::BuildUniformRemapTables	30	__ZN13TInfoSinkBase6appendEPKc
97bb71ec	97bb7264	switch-code	TGenericLinker::BuildUniformRemapTables	30	__ZN13TInfoSinkBase6appendEPKc
97bb7400	97bb7480	switch-code	TGenericLinker::InsertUniformBindingFromSymbol	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb776c	97bb77f4	switch-code	TGenericLinker::CreateFunctionTable	34	__ZN13TInfoSinkBase6appendEPKc,_free
97bb7a58	97bb7ad8	switch-code	TGenericLinker::CreateFunctionTable	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb7c5c	97bb7c74	table	TGenericLinker::BuildSymbolTableList	6	
97bb7c9c	97bb7cb4	table	TGenericLinker::BuildSymbolTableList	6	
97bb7cdc	97bb7d54	switch-code	TGenericLinker::BuildSymbolTableList	30	__ZN13TInfoSinkBase6appendEPKc
