entry	function	register	class	first reader / imports
97b9b054	TParseContext::reservedErrorCheck	r8	PASS-unknown	97b9b0ac bl 0x97c1f160	; symbol stub for: __ZNSbIcSt
97b9b054	TParseContext::reservedErrorCheck	r10	PASS-unknown	97b9b0ac bl 0x97c1f160	; symbol stub for: __ZNSbIcSt
97b9b1cc	TParseContext::constructorErrorCheck	r10	PASS-indirect	97b9b9dc bl __ZN13TParseContext5errorEiPKcS1_S1_z
97b9ba00	TParseContext::voidErrorCheck	r8	PASS-vararg	97b9ba58 bl __ZN13TParseContext5errorEiPKcS1_S1_z
97b9ba78	__ZN13TParseContext14boolErrorCheckEiPK12TIntermTyped	r9	PASS-indirect	97b9baac bctrl 
97b9ba78	__ZN13TParseContext14boolErrorCheckEiPK12TIntermTyped	r10	PASS-indirect	97b9baac bctrl 
97b9bb48	__ZN13TParseContext14boolErrorCheckEiRK11TPublicType	r8	PASS-vararg	97b9bbb0 bl __ZN13TParseContext5errorEiPKcS1_S1_z
97b9bb48	__ZN13TParseContext14boolErrorCheckEiRK11TPublicType	r9	PASS-vararg	97b9bbb0 bl __ZN13TParseContext5errorEiPKcS1_S1_z
97b9bb48	__ZN13TParseContext14boolErrorCheckEiRK11TPublicType	r10	PASS-vararg	97b9bbb0 bl __ZN13TParseContext5errorEiPKcS1_S1_z
97b9bbcc	TParseContext::samplerErrorCheck	r8	PASS-indirect	97b9bc04 bl __ZN13TParseContext15containsSamplerER5T
97b9bbcc	TParseContext::samplerErrorCheck	r9	PASS-indirect	97b9bc04 bl __ZN13TParseContext15containsSamplerER5T
97b9bbcc	TParseContext::samplerErrorCheck	r10	PASS-indirect	97b9bc04 bl __ZN13TParseContext15containsSamplerER5T
97b9bc84	TParseContext::structQualifierErrorCheck	r10	PASS-indirect	97b9bcc4 bl 0x97c1ed60	; symbol stub for: __Z18getQu
97b9bd30	TParseContext::parameterSamplerErrorCheck	r8	PASS-indirect	97b9bd70 bctrl 
97b9bd30	TParseContext::parameterSamplerErrorCheck	r9	PASS-indirect	97b9bd70 bctrl 
97b9bd30	TParseContext::parameterSamplerErrorCheck	r10	PASS-indirect	97b9bd70 bctrl 
97b9be9c	TParseContext::insertBuiltInArrayAtGlobalLevel	r8	PASS-no	97b9beb8 bl 0x97c1e940	; symbol stub for: __Z22GetGl
97b9be9c	TParseContext::insertBuiltInArrayAtGlobalLevel	r10	PASS-no	97b9beb8 bl 0x97c1e940	; symbol stub for: __Z22GetGl
97b9cb78	TParseContext::arraySetMaxSize	r10	PASS-indirect	97b9cbd0 bctrl 
97b9d3d8	TParseContext::paramErrorCheck	r8	PASS-indirect	97b9d414 bl 0x97c1ed60	; symbol stub for: __Z18getQu
97b9d3d8	TParseContext::paramErrorCheck	r9	PASS-indirect	97b9d414 bl 0x97c1ed60	; symbol stub for: __Z18getQu
97b9d3d8	TParseContext::paramErrorCheck	r10	PASS-indirect	97b9d414 bl 0x97c1ed60	; symbol stub for: __Z18getQu
97b9d4b0	TParseContext::extensionErrorCheck	r8	PASS-no	97b9d4d4 bl 0x97c1e940	; symbol stub for: __Z22GetGl
97b9d4b0	TParseContext::extensionErrorCheck	r10	PASS-no	97b9d4d4 bl 0x97c1e940	; symbol stub for: __Z22GetGl
97b9ea2c	TParseContext::addConstructor	r9	PASS-indirect	97b9ea88 bctrl 
97b9ea2c	TParseContext::addConstructor	r10	PASS-indirect	97b9ea88 bctrl 
97b9eddc	TParseContext::constructBuiltIn	r10	PASS-indirect	97b9eea0 bl __ZN13TParseContext5errorEiPKcS1_S1_z
97b9f138	TParseContext::addConstVectorNode	r9	PASS-indirect	97b9f170 bctrl 
97b9f138	TParseContext::addConstVectorNode	r10	PASS-indirect	97b9f170 bctrl 
97b9f600	TParseContext::addConstMatrixNode	r7	PASS-indirect	97b9f63c bctrl 
97b9f600	TParseContext::addConstMatrixNode	r8	PASS-indirect	97b9f63c bctrl 
97b9f600	TParseContext::addConstMatrixNode	r9	PASS-indirect	97b9f63c bctrl 
97b9f600	TParseContext::addConstMatrixNode	r10	PASS-indirect	97b9f63c bctrl 
97b9f988	TParseContext::addConstStruct	r10	PASS-indirect	97b9f9d4 bctrl 
97b9fe54	InitializeGlobalPools	r3	RET	97b9fee0 blr 
97b9fee4	FreeGlobalPools	r3	RET	97b9ff10 bl __Z22GetGlobalPoolAllocatorv
97ba0680	RemoveAllTreeNodes	r5	PASS-indirect	97ba0710 bctrl 
97ba0680	RemoveAllTreeNodes	r6	PASS-indirect	97ba0710 bctrl 
97ba0680	RemoveAllTreeNodes	r7	PASS-indirect	97ba0710 bctrl 
97ba0680	RemoveAllTreeNodes	r8	PASS-indirect	97ba0710 bctrl 
97ba2b10	TSymbolTableLevel::dump	r5	PASS-indirect	97ba2b50 bctrl 
97ba2b10	TSymbolTableLevel::dump	r6	PASS-indirect	97ba2b50 bctrl 
97ba2b10	TSymbolTableLevel::dump	r7	PASS-indirect	97ba2b50 bctrl 
97ba2b10	TSymbolTableLevel::dump	r8	PASS-indirect	97ba2b50 bctrl 
97ba2da0	__ZN17TSymbolTableLevelD4Ev	r5	PASS-indirect	97ba2df4 bl 0x97c1fc40	; symbol stub for: __ZNSt22_R
97ba2da0	__ZN17TSymbolTableLevelD4Ev	r6	PASS-indirect	97ba2df4 bl 0x97c1fc40	; symbol stub for: __ZNSt22_R
