name	address	section	ghidra_type	len	c_declaration	value	defined_in
PTR__cpp_a7b7c0a4	0xa7b7c0a4	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__cpp_a7b7c0a4 asm("PTR__cpp_a7b7c0a4");	pointer -> _cpp	data.s
PTR_DAT_a7b7c0a8	0xa7b7c0a8	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_DAT_a7b7c0a8 asm("PTR_DAT_a7b7c0a8");	pointer -> __DefaultRuneLocale	data.s
PTR__atable_a7b7c0ac	0xa7b7c0ac	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__atable_a7b7c0ac asm("PTR__atable_a7b7c0ac");	pointer -> _atable	data.s
PTR__operatorStrings_a7b7c0b0	0xa7b7c0b0	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__operatorStrings_a7b7c0b0 asm("PTR__operatorStrings_a7b7c0b0");	pointer -> _operatorStrings	data.s
PTR_vtable_a7b7c0b4	0xa7b7c0b4	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_vtable_a7b7c0b4 asm("PTR_vtable_a7b7c0b4");	pointer -> __ZTV9TVariable	data.s
PTR__S_terminal_a7b7c0b8	0xa7b7c0b8	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__S_terminal_a7b7c0b8 asm("PTR__S_terminal_a7b7c0b8");	pointer -> LD_97c3acb0	data.s
PTR_DAT_a7b7c0bc	0xa7b7c0bc	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_DAT_a7b7c0bc asm("PTR_DAT_a7b7c0bc");	pointer -> ___sF	data.s
PTR_vtable_a7b7c0c0	0xa7b7c0c0	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_vtable_a7b7c0c0 asm("PTR_vtable_a7b7c0c0");	pointer -> __ZTV13TIntermBranch	data.s
PTR_vtable_a7b7c0c4	0xa7b7c0c4	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_vtable_a7b7c0c4 asm("PTR_vtable_a7b7c0c4");	pointer -> __ZTV11TIntermLoop	data.s
PTR_vtable_a7b7c0c8	0xa7b7c0c8	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_vtable_a7b7c0c8 asm("PTR_vtable_a7b7c0c8");	pointer -> __ZTV20TIntermConstantUnion	data.s
PTR_vtable_a7b7c0cc	0xa7b7c0cc	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_vtable_a7b7c0cc asm("PTR_vtable_a7b7c0cc");	pointer -> __ZTV16TIntermSelection	data.s
PTR_vtable_a7b7c0d0	0xa7b7c0d0	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_vtable_a7b7c0d0 asm("PTR_vtable_a7b7c0d0");	pointer -> __ZTV16TIntermAggregate	data.s
PTR_vtable_a7b7c0d4	0xa7b7c0d4	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_vtable_a7b7c0d4 asm("PTR_vtable_a7b7c0d4");	pointer -> __ZTV12TIntermUnary	data.s
PTR_vtable_a7b7c0d8	0xa7b7c0d8	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_vtable_a7b7c0d8 asm("PTR_vtable_a7b7c0d8");	pointer -> __ZTV13TIntermBinary	data.s
PTR_vtable_a7b7c0dc	0xa7b7c0dc	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR_vtable_a7b7c0dc asm("PTR_vtable_a7b7c0dc");	pointer -> __ZTV13TIntermSymbol	data.s
PTR__S_node_allocator_lock_a7b7c0e0	0xa7b7c0e0	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR__S_node_allocator_lock_a7b7c0e0 asm("PTR__S_node_allocator_lock_a7b7c0e0");	pointer -> LD_a7b7bfe0	data.s
