00005200	32	method	MISSING	IOATIR500Accelerator::clearInGART	__ZN20IOATIR500Accelerator11clearInGARTEm
00005220	76	method	DONE	IOATIR500Accelerator::addToGART	__ZN20IOATIR500Accelerator9addToGARTEP18IOMemoryDescriptorPm
00005270	356	method	MISSING	IOATIR500Accelerator::removeFromGART	__ZN20IOATIR500Accelerator14removeFromGARTEP18IOMemoryDescriptorm
000053e0	4	method	MISSING	IOATIR500Accelerator::synchronizeGART	__ZN20IOATIR500Accelerator15synchronizeGARTEmm
000053f0	4	method	MISSING	IOATIR500Accelerator::flush_memory_for_out	__ZN20IOATIR500Accelerator20flush_memory_for_outEP18IOMemoryDescriptormm
00005400	4	method	MISSING	IOATIR500Accelerator::flush_memory_for_in	__ZN20IOATIR500Accelerator19flush_memory_for_inEP18IOMemoryDescriptormm
00005410	52	method	MISSING	IOATIR500Accelerator::is_idle	__ZN20IOATIR500Accelerator7is_idleEv
00005450	12	method	MISSING	IOATIR500Accelerator::set_stereo	__ZN20IOATIR500Accelerator10set_stereoEmm
00005460	572	method	DONE	IOATIR500Accelerator::setup_stereo	__ZN20IOATIR500Accelerator12setup_stereoEmm
000056a8	16	stub	n/a	IOATIR500Surface::allocAllSlaveSwapBuffers	
000056b8	16	stub	n/a	IOATIR500Surface::allocMasterSwapBuffer	
000056c8	16	stub	n/a	IOATIR500Surface::freeAllSwapBuffers	
000056d8	16	stub	n/a	ATIR500Memory::dealloc	
000056e8	16	stub	n/a	IOATIR500Accelerator::freeToAllocSurfaceVRAM	
000056f8	16	stub	n/a	FUN_000056f8	
00005710	320	method	MISSING	IOATIR500Accelerator::disp_mode_did_change	__ZN20IOATIR500Accelerator20disp_mode_did_changeEv
00005850	16	stub	n/a	FUN_00005850	
00005860	16	stub	n/a	IOATIR500Surface::alloc_surfaces	
00005870	16	stub	n/a	IOATIR500Accelerator::setup_stereo	
00005880	16	stub	n/a	IOATIR500Surface::reset_access	
00005890	148	method	MISSING	IOATIR500Accelerator::teardown3D	__ZN20IOATIR500Accelerator10teardown3DEv
00005924	16	stub	n/a	IOATIR500Accelerator::setup_stereo	
00005934	16	stub	n/a	IOATIR500Accelerator::freeAllDataBuffers	
00005944	16	stub	n/a	IOATIR500Accelerator::freeAllCommandBuffers	
00005960	84	method	MISSING	IOATIR500Accelerator::system_did_wake	__ZN20IOATIR500Accelerator15system_did_wakeEv
000059b4	16	stub	n/a	FUN_000059b4	
000059c4	16	stub	n/a	FUN_000059c4	
000059e0	48	method	DONE	IOATIR500Accelerator::find_surface_for_id	__ZN20IOATIR500Accelerator19find_surface_for_idEm
00005a10	8	method	MISSING	IOATIR500Accelerator::getAccelCapsBits	__ZN20IOATIR500Accelerator16getAccelCapsBitsEv
