18d4b4	FUN_0018d4b4	r8	PASS-indirect	18d50c bl 0x105594
1906c8	FUN_001906c8	r5	PASS-indirect	190720 bctrl 
1906c8	FUN_001906c8	r6	PASS-indirect	190720 bctrl 
190990	FUN_00190990	r5	PASS-indirect	1909d4 bctrl 
190990	FUN_00190990	r6	PASS-indirect	1909d4 bctrl 
190990	FUN_00190990	r7	PASS-indirect	1909d4 bctrl 
190990	FUN_00190990	r8	PASS-indirect	1909d4 bctrl 
193944	FUN_00193944	r7	PASS-indirect	193974 bctrl 
193944	FUN_00193944	r8	PASS-indirect	193974 bctrl 
19c130	FUN_0019c130	r8	PASS-deep	19c190 bl 0x105594
19ca78	FUN_0019ca78	r6	PASS-deep	19cab4 bl 0x105dbc
19ca78	FUN_0019ca78	r7	PASS-deep	19cab4 bl 0x105dbc
19ca78	FUN_0019ca78	r8	PASS-deep	19cab4 bl 0x105dbc
19d478	FUN_0019d478	r5	USED	19d47c or. r28,r5,r5
19f880	FUN_0019f880	r6	PASS-indirect	19f950 bctrl 
19f880	FUN_0019f880	r7	PASS-indirect	19f950 bctrl 
19f880	FUN_0019f880	r8	PASS-indirect	19f950 bctrl 
19ff2c	FUN_0019ff2c	r6	PASS-indirect	19ff60 bctrl 
19ff2c	FUN_0019ff2c	r7	PASS-indirect	19ff60 bctrl 
19ff2c	FUN_0019ff2c	r8	PASS-indirect	19ff60 bctrl 
19ffdc	FUN_0019ffdc	r6	PASS-indirect	1a0010 bctrl 
19ffdc	FUN_0019ffdc	r7	PASS-indirect	1a0010 bctrl 
19ffdc	FUN_0019ffdc	r8	PASS-indirect	1a0010 bctrl 
1a14d0	FUN_001a14d0	r6	PASS-indirect	1a1504 bctrl 
1a14d0	FUN_001a14d0	r7	PASS-indirect	1a1504 bctrl 
1a14d0	FUN_001a14d0	r8	PASS-indirect	1a1504 bctrl 
1a2878	FUN_001a2878	r5	PASS-indirect	1a28f4 bctrl 
1a2878	FUN_001a2878	r6	PASS-indirect	1a28f4 bctrl 
1a2878	FUN_001a2878	r7	PASS-indirect	1a28f4 bctrl 
1a2878	FUN_001a2878	r8	PASS-indirect	1a28f4 bctrl 
1a2d10	FUN_001a2d10	r6	PASS-indirect	1a2d44 bctrl 
1a2d10	FUN_001a2d10	r7	PASS-indirect	1a2d44 bctrl 
1a2d10	FUN_001a2d10	r8	PASS-indirect	1a2d44 bctrl 
